
---------- Begin Simulation Statistics ----------
simSeconds                                   0.040484                       # Number of seconds simulated (Second)
simTicks                                  40483766000                       # Number of ticks simulated (Tick)
finalTick                                 40483766000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    108.46                       # Real time elapsed on the host (Second)
hostTickRate                                373270887                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2192904                       # Number of bytes of host memory used (Byte)
simInsts                                     52987685                       # Number of instructions simulated (Count)
simOps                                       52998169                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   488560                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     488656                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         80967534                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.528044                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.654431                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        54174342                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    50532                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       53885533                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      7                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1226704                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            633506                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 832                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            80813453                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.666789                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.060682                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  52080910     64.45%     64.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13687805     16.94%     81.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5869028      7.26%     88.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8461956     10.47%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    546207      0.68%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    134349      0.17%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     15155      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     18043      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 7                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              80813453                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
