
---------- Begin Simulation Statistics ----------
simSeconds                                   0.025075                       # Number of seconds simulated (Second)
simTicks                                  25075060000                       # Number of ticks simulated (Tick)
finalTick                                 25075060000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     84.70                       # Real time elapsed on the host (Second)
hostTickRate                                296047409                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2193256                       # Number of bytes of host memory used (Byte)
simInsts                                     52987685                       # Number of instructions simulated (Count)
simOps                                       52998169                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   625596                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     625720                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         50150122                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.946449                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.056581                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        54484137                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    50157                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54157378                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      7                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1536124                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            865018                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 457                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            50111406                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.080740                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.180412                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  21841375     43.59%     43.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12596094     25.14%     68.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6272810     12.52%     81.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8753417     17.47%     98.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    500773      1.00%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    132264      0.26%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     11716      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2951      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         6      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              50111406                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
