
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027968                       # Number of seconds simulated (Second)
simTicks                                  27967727000                       # Number of ticks simulated (Tick)
finalTick                                 27967727000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     88.29                       # Real time elapsed on the host (Second)
hostTickRate                                316784446                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2193036                       # Number of bytes of host memory used (Byte)
simInsts                                     52987685                       # Number of instructions simulated (Count)
simOps                                       52998169                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   600180                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     600298                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         55935456                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.055631                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.947300                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        54486310                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    50179                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54123148                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      9                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1538319                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            890061                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 479                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            55896213                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.968279                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.162933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  27483533     49.17%     49.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12861063     23.01%     72.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6244313     11.17%     83.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8642851     15.46%     98.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    502156      0.90%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    143742      0.26%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     12313      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      6242      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 7                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              55896213                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      0.00% # attempts to use FU when none available (Count)
