app,l1_kb,run_path,simInsts,numCycles,ipc,il1_miss_rate,dl1_miss_rate,l2_miss_rate,branch_cond_incorrect,branch_cond_predicted,branch_mispred_rate,commit_branch_mispredicts,btb_hit_ratio
blowfish,2,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/blowfish_L1_2k,3398906.0,3250414.0,1.045684,0.102169,0.22268,0.005384,4298.0,213017.0,0.02017679340146561,3996.0,0.996652
blowfish,4,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/blowfish_L1_4k,3398906.0,3007907.0,1.12999,0.015307,0.152679,0.009093,4297.0,212906.0,0.02018261580227894,3992.0,0.996549
blowfish,8,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/blowfish_L1_8k,3398906.0,2401966.0,1.415052,0.001808,0.040675,0.048098,4299.0,213061.0,0.020177320110203182,3993.0,0.996332
blowfish,16,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/blowfish_L1_16k,3398906.0,2350169.0,1.446239,0.001511,0.035152,0.063599,4295.0,213139.0,0.020151168955470374,3987.0,0.996239
blowfish,32,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/blowfish_L1_32k,3398906.0,2156544.0,1.576089,0.001388,0.002567,0.89526,4293.0,213156.0,0.020140179023813546,3985.0,0.996214
dijkstra,2,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/dijkstra_L1_2k,52987685.0,80967534.0,0.654431,0.107701,0.182115,0.000564,300781.0,10104074.0,0.029768289503817966,238197.0,0.962524
dijkstra,4,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/dijkstra_L1_4k,52987685.0,74178668.0,0.714325,0.067531,0.132305,0.000769,300273.0,10170230.0,0.029524701014627987,237706.0,0.957202
dijkstra,8,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/dijkstra_L1_8k,52987685.0,60321836.0,0.878416,0.009355,0.070476,0.001703,300299.0,10320825.0,0.029096414288586427,237672.0,0.954076
dijkstra,16,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/dijkstra_L1_16k,52987685.0,55935456.0,0.9473,0.003566,0.04314,0.002866,300664.0,10308135.0,0.029167642837428884,237832.0,0.949425
dijkstra,32,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A15/dijkstra_L1_32k,52987685.0,50150122.0,1.056581,0.000117,0.008434,0.014523,310642.0,10309154.0,0.03013263745987304,237809.0,0.946222
